H,S,V,class
158,73,78,#9e494e
205,102,105,#cd6669
215,138,132,#d78a84
247,198,181,#f7c6b5
218,31,74,#da1f4a
226,84,106,#e2546a
231,121,120,#e77978
196,109,102,#c46d66
214,126,125,#d67e7d
222,141,140,#de8d8c
236,159,151,#ec9f97
186,101,120,#ba6578
207,129,151,#cf8197
242,152,188,#f298bc
223,115,113,#df7371
228,140,138,#e48c8a
236,169,161,#eca9a1
176,114,89,#b07259
198,128,103,#c68067
206,140,116,#ce8c74
230,169,150,#e6a996
186,109,91,#ba6d5b
196,129,103,#c48167
200,144,111,#c8906f
233,168,146,#e9a892
182,74,90,#b64a5a
210,78,101,#d24e65
227,109,107,#e36d6b
235,179,180,#ebb3b4
224,110,109,#e06e6d
219,136,128,#db8880
251,150,164,#fb96a4
245,174,180,#f5aeb4
159,73,72,#9f4948
183,103,92,#b7675c
188,126,127,#bc7e7f
241,157,157,#f19d9d
142,87,84,#8e5754
203,140,125,#cb8c7d
204,145,141,#cc918d
221,168,164,#dda8a4
191,120,116,#bf7874
189,147,135,#bd9387
220,180,181,#dcb4b5
235,189,174,#ebbdae
